Electoral District Code,Electoral District Name,Candidate's Ballot Name,Affiliation,Total Valid Votes,% of Popular Vote,In-district Ballot Box count,Date,Time,AdvanceTotals,FinalTotals,Out-of District count,Initial Count Status
ABM,Abbotsford-Mission,Elina Clarke,BC Kiwi Party,4875,19.58%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
ABM,Abbotsford-Mission,Kathleen Livaja,Cherries,4968,19.95%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
ABM,Abbotsford-Mission,Graham Routledge,BC Mangoes,5093,20.46%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
ABM,Abbotsford-Mission,James Sims,Bananas,4736,19.02%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
ABM,Abbotsford-Mission,Donovan Starchuk,BC Pineapple Party,5226,20.99%,16 of 16,22/08/2024,03:52:20 PM,6 of 6,10 of 10,Complete,Complete
ABS,Abbotsford South,Steve Bali,BC Mangoes,5732,26.25%,17 of 17,22/08/2024,03:52:20 PM,6 of 6,11 of 11,Complete,Complete
ABS,Abbotsford South,Bill Bradshaw,BC Pineapple Party,5839,26.74%,17 of 17,22/08/2024,03:52:20 PM,6 of 6,11 of 11,Complete,Complete
ABS,Abbotsford South,Amanda Markwick,BC Kiwi Party,4940,22.62%,17 of 17,22/08/2024,03:52:20 PM,6 of 6,11 of 11,Complete,Complete
ABS,Abbotsford South,David Thompson,Bananas,5328,24.40%,17 of 17,22/08/2024,03:52:20 PM,6 of 6,11 of 11,Complete,Complete
ABW,Abbotsford West,Xiao Bao,Independent,2757,14.59%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
ABW,Abbotsford West,Christopher Bolin,Bananas,3381,17.89%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
ABW,Abbotsford West,Rod Marcus,Cherries,2432,12.87%,15 of 15,22/08/2024,03:52:20 PM,5 of 5,10 of 10,Complete,Complete
