Electoral District Code,Electoral District Name,leadingParty,leadingCandidate,leadingPopVote,FinalTotals,colorCategory,NDP,Conservative,Green,Independent,Other
ABM,Abbotsford-Mission,Conservative,Reann Gasper,55.67,16 of 16,Conservative lead,44.33,55.67,0,0,0
ABS,Abbotsford South,Conservative,Bruce Banman,61.93,17 of 18,Conservative lead,34.84,61.93,0,3.22,0
ABW,Abbotsford West,Conservative,Korky Neufeld,58.81,16 of 16,Conservative lead,36.4,58.81,0,4.79,0
BNC,Burnaby Centre,NDP,Anne Kang,56.93,10 of 11,NDP lead,56.93,43.07,0,0,0
BNE,Burnaby East,NDP,Reah Arora,51.5,11 of 12,NDP lead,51.5,40.88,7.63,0,0
BNN,Burnaby-New Westminster,NDP,Raj Chouhan,59.77,12 of 13,NDP lead,59.77,34.87,0,5.37,0
BNO,Burnaby North,NDP,Janet Routledge,52.96,12 of 13,NDP lead,52.96,43.27,0,3.76,0
BNS,Burnaby South-Metrotown,NDP,Paul Choi,49.23,12 of 13,NDP lead,49.23,41.76,6.21,1.86,0
CHC,Chilliwack-Cultus Lake,Conservative,A'aliya Warbus,55.07,14 of 15,Conservative lead,44.93,55.07,0,0,0
CHN,Chilliwack North,Conservative,Heather Maahs,55.05,15 of 16,Conservative lead,37.25,55.05,5.43,2.27,0
CQB,Coquitlam-Burke Mountain,NDP,Jodie Wickens,50.65,12 of 13,NDP lead,50.65,49.35,0,0,0
CQM,Coquitlam-Maillardville,NDP,Jennifer Blatherwick,51.55,16 of 17,NDP lead,51.55,39.85,6.29,2.32,0
DLN,Delta North,NDP,Ravi Kahlon,52.51,12 of 12,NDP lead,52.51,40.44,6.19,0,0.86
DLS,Delta South,Conservative,Ian Paton,55.19,14 of 15,Conservative lead,44.81,55.19,0,0,0
FRN,Fraser-Nicola,Conservative,Tony Luck,54.67,31 of 32,Conservative lead,36.19,54.67,9.15,0,0
LLA,Langley-Abbotsford,Conservative,Harman Bhangu,55.86,16 of 17,Conservative lead,33.54,55.86,5.54,4.3,0.76
LWG,Langley-Walnut Grove,Conservative,Misty Van Popta,49.74,14 of 15,Conservative lead,44.61,49.74,5.11,0.55,0
LWI,Langley-Willowbrook,Conservative,Jody Toor,48.51,14 of 15,Conservative lead,44.1,48.51,7.39,0,0
MAE,Maple Ridge East,Conservative,Lawrence Mok,47.49,16 of 17,Conservative lead,46.18,47.49,6.33,0,0
MAP,Maple Ridge-Pitt Meadows,NDP,Lisa Beare,54.69,16 of 16,NDP lead,54.69,45.31,0,0,0
NMC,New Westminster-Coquitlam,NDP,Jennifer Whiteside,58.92,13 of 14,NDP lead,58.92,30.03,11.05,0,0
NVL,North Vancouver-Lonsdale,NDP,Bowinn Ma,64.61,17 of 18,NDP lead,64.61,35.39,0,0,0
NVS,North Vancouver-Seymour,NDP,Susie Chant,52.62,20 of 20,NDP lead,52.62,35.91,5.61,5.85,0
POC,Port Coquitlam,NDP,Mike Farnworth,53.61,17 of 18,NDP lead,53.61,39,6.43,0,0.96
POM,Port Moody-Burquitlam,NDP,Rick Glumac,51.75,18 of 19,NDP lead,51.75,40.79,7.46,0,0
